[0:00 - 0:02]  الحمد اللي يغرب العالمين
[6:38 - 6:40]  إيه
[6:40 - 6:41]  لفي الإجور
[6:41 - 6:43]  لصلاة العشاء والفجر
[6:43 - 6:44]  لأتوها
[6:44 - 6:45]  و لو حب
[6:45 - 6:49]  و عوز
[6:49 - 6:51]  بعد إزنكم
[6:51 - 6:53]  بعد مخلص الدرس ده
[6:53 - 6:57]  إنت عندك 4 سنين بتسمان
[6:57 - 6:59]  عندك
[6:59 - 7:01]  في سعين سنة بتسمان
[7:01 - 7:02]  أعمل التمرين ده
[7:02 - 7:05]  لمدة 30 سنة
[7:05 - 7:07]  جهزين
[7:07 - 7:09]  قلوك هتعملو
[7:09 - 7:11]  جهزين
[7:11 - 7:13]  إنكم تنشو
[7:13 - 7:14]  حبوا
[7:14 - 7:18]  لمدة 30 سنة بعد الدرس
[7:18 - 7:19]  إن شعال إيدك ورغلك
[7:19 - 7:20]  لك
[7:20 - 7:23]  وتخيى للمشيدي
[7:23 - 7:26]  إن نبيز وصل لنبي أرلك عليها
[7:26 - 7:27]  لو تعرفت
[7:27 - 7:28]  إيه
[7:28 - 7:31]  في الصلاة الفجر والعشة من أجور
[7:31 - 7:34]  عرض مش هتساب الصلاة
[7:34 - 7:37]  ولاو هاتيك كدا
[7:37 - 7:40]  ولاو هاتم شيكدا
[7:40 - 7:42]  وخدم بلكم
[7:42 - 7:47]  عشان تتخيى للمنبيز وصل لنبي أرلك
[7:49 - 7:51]  ولذلك
[7:51 - 7:52]  سوف يعني بنعائنا
[7:52 - 7:55]  إيه بيقول لنا كلمة جميلة جدا
[7:55 - 7:58]  لا تكن مسلأة جير السوق
[7:58 - 8:00]  لتعبان بأو كبير في الصين
[8:00 - 8:01]  وميضرشة عملها خلاصة
[8:01 - 8:03]  إنه كان ليه هدف
[8:03 - 8:04]  أنت فهمي ميان
[8:04 - 8:05]  إليه ضرع ميلا
[8:05 - 8:06]  هيعملها
[8:06 - 8:08]  ولميضرشة تخيى لها
[8:08 - 8:10]  قال سوف يعني عينه
[8:10 - 8:14]  لا تكن مسلأة جير السوق
[8:14 - 8:18]  لا يأتي حتى يدعى
[8:18 - 8:24]  يعمت خلش زيكدا ل العام المتعب
[8:24 - 8:26]  أعرف كنا ميكون عندك حيارس
[8:26 - 8:28]  للمنبيز
[8:28 - 8:30]  كل شوية لازم تلت ندعلي
[8:30 - 8:32]  سيدي بلي في إده ويجاء فجن بالبيت
[8:32 - 8:33]  متعب
[8:33 - 8:35]  وفي واحد تاني رأة
[8:35 - 8:37]  دايما فين في الخدمة
[8:37 - 8:41]  فسوفيان بقول لك لا تكن مسلأة جير السوق
[8:41 - 8:43]  لا يأتي حتى يدعى
[8:43 - 8:45]  ولذلك سعيد المسي
[8:45 - 8:49]  يقول ما أدى أن المؤذ منذ ثلاثين سنة
[8:49 - 8:51]  إلا وأنف المزدت
[8:51 - 8:54]  إلا وأنف المزدت
[8:54 - 8:55]  من ثلاثين سنة
[8:57 - 8:58]  وأنف المزدت
[8:58 - 8:59]  وأنف المزدت
[8:59 - 9:01]  من ثلاثين سنة
[9:01 - 9:03]  الذي يقول أن عمل التمجين دابس
[9:03 - 9:04]  الاحفاد مشاكل شخوني
[9:04 - 9:05]  وكذا لذلك
[9:05 - 9:06]  لعكس
[9:06 - 9:07]  ولو انت عالهم تعافون الحديثة
[9:07 - 9:08]  يعني حبوة
[9:08 - 9:09]  وشرحلهم
[9:09 - 9:11]  كأنه بتشرحي لهم يعني حبوة
[9:11 - 9:13]  ليس الحدف الملوحة
[9:13 - 9:14]  يمش الفكرة
[9:14 - 9:16]  لذلك رادف المنتة تتخير
[9:16 - 9:17]  يعني حبوة
[9:19 - 9:20]  سعيد المسيم
[9:20 - 9:22]  لما فيوم الأيام
[9:22 - 9:23]  طرق الباب
[9:23 - 9:25]  على رجل
[9:25 - 9:29]  فقال من وقد أذن المؤلذ
[9:29 - 9:30]  قال سعيد
[9:30 - 9:31]  قال فقط رعا عقلي
[9:31 - 9:33]  وقل بكل سعيدنا
[9:33 - 9:34]  الإلا بن المسيم
[9:34 - 9:36]  لأن الأصل بن المسيم
[9:36 - 9:38]  في المسكد
[9:38 - 9:40]  يفوت خيال وغماء
[9:40 - 9:42]  الضيار حموالي
[9:42 - 9:45]  ويرحم يميعموت المسلمين
[9:45 - 9:47]  فيوم الأيام حدرنا
[9:47 - 9:49]  عليها بعد الصلاة لها
[9:49 - 9:51]  فما بعد العزين
[9:51 - 9:52]  فبرته لي
[9:52 - 9:53]  اللي عوض نفسك
[9:53 - 9:56]  مطرود شعر حد بعد العزين
[9:56 - 9:58]  حتى لو الدمك روبع ساشاً تصدر
[9:58 - 10:00]  فهو يتعود
[10:00 - 10:02]  إن هذا الوقت مقدس
[10:02 - 10:05]  لا ينصد لي
[10:05 - 10:07]  وطصد فيه
[10:07 - 10:09]  حتى لو انت مسافر
[10:09 - 10:10]  ونتواخد
[10:10 - 10:12]  ونتم صدي جامع والحق
[10:12 - 10:14]  هو يتعود على أن الأوادي
[10:14 - 10:16]  أو آئة المسلمين
[10:16 - 10:17]  ما بيشعوش على بعض
[10:17 - 10:21]  محنين بلكم
[10:21 - 10:23]  وما بيش مسلم
[10:23 - 10:25]  يشعوش على مسلم فيه
[10:25 - 10:27]  حتى لو انت مسافر
[10:27 - 10:29]  حتى لو انت مسافر
[10:29 - 10:30]  فانا شافي
[10:30 - 10:33]  نضي من فعل المعامي الرقية
[10:33 - 10:35]  و كان سعيد يقول ما دخل علي
[10:35 - 10:38]  وقت صلاة إلا وقد أخذته
[10:38 - 10:41]  وهبتها أنا مستعد
[10:41 - 10:43]  أنا مستعد
[10:43 - 10:45]  ربيع بنيازيد يقول ما
[10:45 - 10:47]  أذن المؤد منذ 4 سنة
[10:47 - 10:49]  إلا وأنا في المسجد
[10:49 - 10:51]  إلا أن أكون مريضا أو مسافر
[10:51 - 10:53]  أصبح أن أكون مريضا أو مسافر
[10:53 - 10:55]  سوف يعني ثوري
[10:55 - 10:56]  بقول ما جي وك إلى الصلاة
[10:56 - 10:57]  يقدل الإقامة
[10:57 - 10:59]  توقير للصلاة
[10:59 - 11:00]  وكير بن الجرح
[11:00 - 11:01]  بقول ما اللماء
[11:01 - 11:02]  أخذ أهوبة الصلاة
[11:02 - 11:03]  قبل وقتها لم يكن
[11:03 - 11:04]  وقرها
[11:04 - 11:06]  يا الله
[11:06 - 11:09]  فتبكير للصلاة
[11:09 - 11:10]  سواقف المزيد
[11:10 - 11:11]  أو التبكير للنساء
[11:11 - 11:12]  في الصلاة
[11:12 - 11:13]  في اللي الصلاة
[11:13 - 11:14]  ده من الومول
[11:14 - 11:15]  التي يحبوها
[11:15 - 11:16]  الله سبحانه
[11:16 - 11:17]  وكعاله
[11:17 - 11:18]  التي فيها المصادقة
[11:18 - 11:19]  ولمصرعة
[11:19 - 11:21]  أسسوال
[11:21 - 11:24]  نؤول
[11:24 - 11:26]  منذ أذنة
[11:26 - 11:27]  المؤذن
[11:27 - 11:29]  ما أذنة المؤذن
[11:29 - 11:30]  منذ كام سنة
[11:30 - 11:32]  أو كام يوم
[11:32 - 11:34]  إلا وأنتي
[11:34 - 11:36]  جهزة للصلاة
[11:36 - 11:39]  ولبس أزدالك ومتحية
[11:39 - 11:41]  ونؤول منذ أذنة المؤذن
[11:41 - 11:44]  من كام شخش
[11:44 - 11:46]  إلا أنت مطوضي
[11:46 - 11:48]  وكهزة للصلاة
[11:48 - 11:52]  من الستعدادات لرمضان
[11:52 - 11:55]  إن أقول
[11:55 - 11:57]  عوزي النظرب أنفسنا على ريت
[11:57 - 12:02]  تمري ما أبصطه
[12:02 - 12:04]  وما أعامقه
[12:04 - 12:06]  بصيد جدا
[12:06 - 12:08]  ويسير جدا على مؤذن
[12:08 - 12:09]  يا سرهم الله
[12:09 - 12:10]  أرث
[12:10 - 12:12]  إن أقول منذ
[12:12 - 12:14]  خمس 12 رجب
[12:14 - 12:16]  ما أذنة المؤذن
[12:16 - 12:18]  إلا وأنا نطوضي
[12:18 - 12:20]  وجهزة من مطوزر الصلاة
[12:20 - 12:22]  ونت ناس الثلان
[12:22 - 12:23]  تؤور
[12:23 - 12:25]  ما أذنة المؤذن
[12:25 - 12:27]  إلا وأنا نطوضي من مطوزر الصلاة
[12:27 - 12:29]  مش هولك يسيد إن أنت أي
[12:29 - 12:31]  يتكون في المزك
[12:31 - 12:32]  يدرى جائي
[12:32 - 12:35]  يدرى عوزي ناس
[12:35 - 12:36]  يعني توحى أن نكلم فيه
[12:36 - 12:37]  إن كان في شهر
[12:37 - 12:38]  شهر ونص
[12:38 - 12:40]  على تصار
[12:40 - 12:42]  هل تصار
[12:42 - 12:44]  لا يؤدن المؤذن
[12:44 - 12:46]  إلا وأنت مطوضي
[12:46 - 12:48]  وجهزة الصلاة
[12:48 - 12:50]  ولا يؤدن المؤذن
[12:50 - 12:52]  إلا وأنت
[12:52 - 12:54]  مطوضي وجهزة الصلاة
[12:54 - 12:55]  مضوعد دادروات
[12:55 - 12:57]  انت حسين حسين
[12:57 - 12:58]  إنه صعب
[12:58 - 13:00]  هو انت معتق معتق
[13:00 - 13:01]  تتشعلي
[13:01 - 13:02]  لكنه من الصعب
[13:02 - 13:03]  فهولتلك ما بلكلكي
[13:03 - 13:05]  في فرق بين
[13:05 - 13:06]  هو
[13:06 - 13:08]  كل فبما يطاء
[13:08 - 13:09]  لا يطاق
[13:09 - 13:11]  واللبيما لم تعتاد علي
[13:11 - 13:13]  بيهاجن تمع تتشعلي
[13:13 - 13:16]  ووف إن
[13:16 - 13:17]  وف إنع الفكريد
[13:17 - 13:19]  فحنا وزن عوضن فست
[13:19 - 13:21]  نتخل بقى في عاطق
[13:21 - 13:22]  الملك سبحانه
[13:22 - 13:23]  وتهال
[13:23 - 13:25]  من أول ما تسمع النداة
[13:25 - 13:28]  من أول ما تسمع النداة
[13:28 - 13:30]  ابتداة ان كدا عشان
[13:30 - 13:32]  ما فيش سؤال يدأتسيله في الموضوع
[13:32 - 13:33]  ده
[13:35 - 13:38]  كل فضل لرجال
[13:38 - 13:40]  يعني النبي صلى الله عليه وسلم
[13:40 - 13:42]  يا رجل ونترى يهل المزجد
[13:42 - 13:44]  لك بكل خط وكزة وكزة وكزة وكزة
[13:44 - 13:46]  شو مقالة للمرأة
[13:46 - 13:48]  صالاتك في البيث
[13:48 - 13:50]  أفضل من صالاتك في المزجد
[13:50 - 13:52]  أو من الصلاف وأزن لك
[13:52 - 13:54]  فعرف أنه أجريك
[13:56 - 13:57]  أصحى
[13:57 - 13:59]  أعلى بكتير
[13:59 - 14:01]  منك انك تضوار على الأجور
[14:01 - 14:04]  في الموضوع في المفهد
[14:04 - 14:06]  فه كل أجري أجريك بك
[14:06 - 14:08]  أعلى تلت بعرفة
[14:08 - 14:10]  أهل تلت بعرفة
[14:10 - 14:12]  إلا أجمل من نباح
[14:12 - 14:14]  اللي رب نخترفونك
[14:14 - 14:16]  وصل لكم الفكردي
[14:16 - 14:18]  من معندا مهم جداً إدراكم
[14:18 - 14:21]  شلات شوش وعلى أنفسكم
[14:21 - 14:23]  بيه بموضوع ده
[14:23 - 14:24]  يعني
[14:24 - 14:26]  وللا المسل لعنش أنا أربلكم الفكردي
[14:26 - 14:28]  لتنا أولت لبني
[14:28 - 14:30]  وحن مششين يبرهم
[14:30 - 14:33]  مع وذكت عدة خطارات الواته المسل
[14:33 - 14:37]  فبرهم بيعدد الخطارات لأهم بتين خطارة
[14:37 - 14:39]  تلو على كل خطار أبرهم
[14:39 - 14:41]  أنها ديك جني
[14:41 - 14:44]  فيه بمتين جني
[14:44 - 14:48]  والمناسبة التمليم ده مهم جداً
[14:48 - 14:50]  جداً ممكن تعملوا مع أولاتكم
[14:50 - 14:52]  سنتواصل صدو فكرة
[14:52 - 14:54]  ممكن تعملوا يوميان
[14:54 - 14:55]  والله يعيني باله
[14:55 - 14:58]  بينيكوا بينيكوا بينيكوا المسجد خمسوين في خطار
[14:58 - 15:02]  فالموامل ولا بياخد جني على كل خطار
[15:02 - 15:04]  رايا حو جني جاي
[15:04 - 15:06]  لأن العطاء على ليه
[15:06 - 15:08]  على زهاباً وإيهاباً
[15:08 - 15:10]  فهي خضر بعميج جني النهربة
[15:10 - 15:12]  أقول لنا الديتة النهربة
[15:12 - 15:13]  لأن أقول لك
[15:13 - 15:18]  يوم القيامة الله يحاسبك على كل خطوة مجب جني
[15:18 - 15:20]  دن حديج جني
[15:20 - 15:24]  وهداخل لجني في البنك
[15:24 - 15:28]  وكامان هاشيلي أي ديون
[15:28 - 15:29]  انت تكون عليك
[15:29 - 15:30]  حن علك جني
[15:30 - 15:32]  ويباد يتحصيرت الديون
[15:32 - 15:35]  فالكل خطوة تخذي ثلاث عطاء دي
[15:35 - 15:38]  وبعدين الوظاه وربطو بالأخرى
[15:38 - 15:43]  فسهي بمارضة واحدة شاف التمرين ده عمل
[15:43 - 15:46]  فأرجع وقول
[15:46 - 15:49]  فالأول تلوق على كل يوم جني
[15:49 - 15:52]  فالواجل دد الوقت يألكها رصح
[15:52 - 15:54]  حسد هكذا قال لربوم جني
[15:54 - 15:57]  فجد أخطه أثتبوا أنا أبي
[15:57 - 15:59]  كان لو صليته
[15:59 - 16:01]  عصلا فوقتها
[16:01 - 16:03]  وقتها
[16:03 - 16:05]  هدك
[16:05 - 16:09]  عالحديك على الصلاة خم سومين جني
[16:09 - 16:15]  أو هدك مي تريال سعود أو مي الدولار
[16:15 - 16:19]  من خد أكتب
[16:19 - 16:21]  هي أخدت أكتب
[16:21 - 16:22]  صح
[16:22 - 16:24]  أنا بار رب لكم الفكرة
[16:24 - 16:25]  مش بوضعات من خد أكتب ولا
[16:25 - 16:27]  لما النبي صلى الله وسلم
[16:27 - 16:29]  يقول للبنت العوزة تنشي
[16:29 - 16:32]  وتحسب الخطوات و تخده الوغور
[16:32 - 16:34]  يقول لها إلا
[16:34 - 16:36]  فيما يخصك أنتي
[16:36 - 16:40]  لو عملت ده تخدي أفضل
[16:40 - 16:42]  من اللنت بتطمحة
[16:42 - 16:43]  يتطمحيلي
[16:43 - 16:46]  واصل الفكرة
[16:46 - 16:48]  كل واحد لي حسبته
[16:48 - 16:50]  ده حسبة بالجنيّد
[16:50 - 16:52]  بعملة تانيّر
[16:52 - 16:55]  حسبة بالدهب ويوم القيامة الله واسع
[16:55 - 16:57]  الله واسع مفيد الدنيا
[16:57 - 17:00]  في الاخراء أصوضيوم القيامة سيادظهر أصر
[17:00 - 17:01]  اسم الله الواسع
[17:01 - 17:02]  و تشوف بأى
[17:02 - 17:03]  مخدين بلكم
[17:04 - 17:07]  طبعا ده بأى موضوع بأتب الصلاة في الحرم
[17:07 - 17:08]  طب التعرويه
[17:08 - 17:10]  من قشات تتنقش فيه
[17:10 - 17:12]  اتحة فمشعوز بس تشويش
[17:12 - 17:13]  أنا مش هائلة بالموضوع
[17:13 - 17:15]  لمدرئة لما مدرسة فطحية
[17:16 - 17:18]  أنا رتكع لنفكر المركزية
[17:18 - 17:20]  بس تنتعوية
[17:20 - 17:23]  فنشوف بأى عطايا الملك سبحانه
[17:23 - 17:25]  تائلة من أول سماع الأزان
[17:25 - 17:28]  سماع الأزان في رجل ودمره
[17:28 - 17:30]  أوههههههههه رجل بس ومرأبه
[17:30 - 17:31]  أوهههه
[17:31 - 17:32]  أمراه
[17:32 - 17:34]  عم بس عيد رضي الله عنه قال
[17:34 - 17:35]  قال رسول الله
[17:35 - 17:36]  صلى الله عليه وسلم
[17:36 - 17:38]  إذا سمعت من نداق
[17:38 - 17:41]  فقولوا مسلمة يقول المؤزن
[17:41 - 17:44]  ومن جمال الأزان
[17:44 - 17:46]  أنه يسمى نداق
[17:47 - 17:49]  فسأل نفسك افتداق
[17:49 - 17:50]  هو بنداع لمين
[17:51 - 17:53]  طوع يكون بنداق
[17:53 - 17:55]  ونتم مبطرودة السبب معناها
[17:55 - 17:57]  ننتم سأهل النداق
[17:57 - 17:59]  يعوحد يقول لك محمد يخير
[17:59 - 18:00]  ونتم مبطرودة
[18:00 - 18:01]  دماني
[18:01 - 18:03]  بخطر سديد أوي
[18:03 - 18:06]  خطر إنه بيتناد عليك
[18:06 - 18:07]  فكأنك بي يو بتقول
[18:07 - 18:10]  بيناد على واحد تاني مشانه
[18:10 - 18:13]  بيناد مش بيناد عليك
[18:13 - 18:16]  لو كنت من
[18:16 - 18:18]  أهل حي على
[18:18 - 18:21]  حي على يعني أقبل لتحيا
[18:21 - 18:23]  كنت نيه
[18:23 - 18:24]  جو بت
[18:24 - 18:25]  فسمو النداق
[18:25 - 18:27]  فإذا سمعت من النداق
[18:27 - 18:30]  فقولوا مسلمة يقول المؤزن
[18:30 - 18:32]  وذك بنجراج
[18:32 - 18:34]  وأنه أقول لبقى نسمع
[18:34 - 18:36]  أن أدين أقول مسلمة يقول
[18:36 - 18:37]  لشان الموت على جاي بعد شوي
[18:37 - 18:40]  أدين جراج كمه
[18:40 - 18:41]  كمه جميل جداً
[18:41 - 18:44]  يقول حدسته أن ناساً كانوا فيما مضا
[18:44 - 18:46]  كانوا ينسطون لتأذين
[18:46 - 18:49]  كأنصاطهم للقرآن
[18:49 - 18:51]  فلا يقول المؤذن
[18:51 - 18:53]  شيئًا إلا قاروا مسلاة
[18:53 - 18:55]  يا الله
[18:55 - 18:57]  تبيئ الأجور
[18:57 - 18:59]  والتحف والهداية
[18:59 - 19:00]  تحف الملك
[19:00 - 19:01]  وهداية الملك
[19:01 - 19:03]  في السماعة
[19:03 - 19:05]  سعر بن بيقاصر دلعن
[19:05 - 19:07]  بيول النبي صلى الله عليه وسلم
[19:07 - 19:10]  قال من قال حين يسمع المؤذن
[19:10 - 19:13]  وأنا أشهد ألا
[19:13 - 19:14]  إلا الله
[19:14 - 19:17]  واحده لا شريك له
[19:19 - 19:21]  وأنا محمدًا عبده
[19:21 - 19:23]  ورسوله
[19:23 - 19:25]  رضيط بالله رب ربي محمدًا
[19:25 - 19:27]  رسولة وبالإسلامدين
[19:27 - 19:29]  أو في راله ذنبه
[19:29 - 19:31]  قال يقول كحن لسما صلى الله عليه وسلم
[19:31 - 19:33]  وحد سمع المؤذن
[19:33 - 19:35]  بيول أشهد ألا إله
[19:35 - 19:36]  إلا الله شهد ألا إله
[19:36 - 19:37]  نلا شهد ألا محمدًا
[19:37 - 19:38]  نلا صلى الله
[19:38 - 19:39]  شهد ألا محمد
[19:39 - 19:41]  رحيلي بعد الشهدة
[19:41 - 19:43]  رحيلي
[19:43 - 19:44]  وأنا أشهد ألا إله
[19:44 - 19:45]  لس بأه يقول عمل
[19:45 - 19:47]  المؤذن لس يقول حي عرصاوه
[19:47 - 19:49]  يتبرو في الحياة حالة
[19:49 - 19:50]  صحبناي
[19:50 - 19:53]  وغفر لهم إنه مبه قبل أن يسمى حي على الفلاح
[19:53 - 19:55]  دلا عليكم النفوس
[19:55 - 19:57]  اللي دخل بالنفسي
[19:57 - 19:58]  يطخبارها
[19:58 - 20:01]  قبل ما يتخل على حي على الفلاح
[20:01 - 20:02]  مستم تعبيه
[20:02 - 20:04]  وغفر لها
[20:04 - 20:05]  وغفر لها
[20:05 - 20:06]  دبعي
[20:06 - 20:08]  عدنك تدولي تبور رجالة
[20:08 - 20:09]  والنساء يجيخ
[20:09 - 20:11]  انت لو قلد انت لو عشتي
[20:11 - 20:13]  أصطن العيشة الأولية
[20:13 - 20:14]  تتلاعي نفسك
[20:14 - 20:15]  تتنى خاص
[20:15 - 20:17]  روفي راله وذنبه
[20:17 - 20:19]  يا الله
[20:19 - 20:22]  عمر بن الخطاد رضي الله
