[0:00 - 0:02]  الحمد الله رب العالمين
[10:17 - 10:20]  ولله المثال الارب العالم
[10:20 - 10:21]  الخبير
[10:21 - 10:22]  الذي خلق خفا
[10:22 - 10:24]  وخلق في
[10:24 - 10:26]  خلياك التي بتعدد 70%
[10:26 - 10:27]  خليف جسمك
[10:27 - 10:28]  وقول لخليف
[10:28 - 10:30]  فيها شفرة جواك
[10:30 - 10:31]  ويثن يبتعتك
[10:31 - 10:33]  فيطر الشفرة بتعتك
[10:33 - 10:34]  إيلي يفسلح
[10:34 - 10:36]  واليوزبت البوت بتاع
[10:36 - 10:37]  فالذبت جوابير بنمطع
[10:37 - 10:39]  غير اللي هيوزبت
[10:39 - 10:40]  عمر بن الخطاب
[10:40 - 10:41]  وعمر بن الخطاب
[10:41 - 10:43]  كانت الشفر النفسية
[10:43 - 10:44]  بتعتك وقم محتاج
[10:44 - 10:45]  يسمع صور الطاه
[10:45 - 10:46]  وشفر جوابير
[10:46 - 10:49]  كم محتاج يسمع صورت
[10:49 - 10:51]  الأطور
[10:51 - 10:52]  وهكذا
[10:52 - 10:54]  فكل واحد
[10:54 - 10:57]  بيغترف من القرآن
[10:57 - 10:59]  بما يعلم الرحمن
[10:59 - 11:01]  أن هذا يتناسب
[11:01 - 11:03]  مع خلق هذا الانسان
[11:03 - 11:05]  فالذي خلق الانسان
[11:05 - 11:06]  هو الذي تكلاما
[11:06 - 11:07]  بكلاما
[11:07 - 11:08]  يوزلحه
[11:08 - 11:10]  والفلسافة البسيوتة
[11:10 - 11:11]  دية
[11:11 - 11:12]  والمعلومة البسيوتة
[11:12 - 11:13]  اللي انت بتسمعه هديه
[11:13 - 11:14]  أظني
[11:14 - 11:15]  من استحضرها
[11:15 - 11:17]  ويقدركها
[11:17 - 11:19]  هاي رفحتتني خاص
[11:19 - 11:21]  اللي خلقك
[11:21 - 11:23]  يعني في واحد كده
[11:23 - 11:24]  مرواحد يفسل
[11:24 - 11:26]  ليكدا فصل
[11:26 - 11:27]  نولاك مش عيرف
[11:27 - 11:29]  سعوائه
[11:29 - 11:30]  أدراك أو مش مدرك
[11:30 - 11:31]  مش عرف لي فصل
[11:31 - 11:33]  كل واحد لي باسم
[11:33 - 11:34]  مختلفة عن التاني
[11:34 - 11:35]  باسمت صابع
[11:35 - 11:36]  باسمتعين
[11:36 - 11:38]  باسمت الصوت
[11:38 - 11:39]  شفرات
[11:39 - 11:41]  وحد ينبانكم كل واحد لي شفرة
[11:41 - 11:43]  فادافة أمر الخلقة
[11:43 - 11:44]  الخلق
[11:44 - 11:45]  فأمر الخلق
[11:45 - 11:46]  انت مختلف عن غيرك
[11:46 - 11:47]  انت مختلف
[11:47 - 11:48]  ونقدم حدد انتمين
[11:48 - 11:49]  ونتبع منه
[11:49 - 11:50]  ونسبك فينه
[11:50 - 11:51]  ومتفاصل لكلها
[11:51 - 11:53]  بو مردقيق
[11:53 - 11:54]  جداً جداً
[11:54 - 11:55]  جداً يعرفها
[11:55 - 11:56]  باسمتص
[11:56 - 11:58]  سبحانة من خلق
[11:58 - 12:00]  و سبحانة من
[12:00 - 12:01]  تكلّم
[12:01 - 12:02]  بهذا الكلمة
[12:02 - 12:03]  الذي يوصل هذا الخلق
[12:03 - 12:05]  فالذلك
[12:05 - 12:06]  رب العالمين
[12:06 - 12:08]  تكلّم بكلام
[12:08 - 12:10]  ماهما كان بعضه
[12:10 - 12:12]  في شده
[12:12 - 12:14]  في راعد وبرق
[12:14 - 12:15]  لكروف يصلاحك
[12:15 - 12:18]  فنسي مبعض الأدوية بطب مرة
[12:18 - 12:20]  بس هو ودادا وك
[12:20 - 12:21]  هو ودادا وك
[12:21 - 12:22]  حتنوت
[12:22 - 12:24]  ومختلفة شددا ولا
[12:24 - 12:26]  ودفيخ بعض المرارة
[12:26 - 12:28]  ودادا كبير الحج مشوية
[12:28 - 12:29]  ودادا لأعرض
[12:29 - 12:31]  جانبي آل أعرض
[12:31 - 12:33]  زي بعض الأمزي
[12:33 - 12:34]  بعض التشريعات
[12:34 - 12:35]  اللي بعضوكم
[12:35 - 12:37]  ممكن نشوفني لها أعرض
[12:37 - 12:38]  زي الزكة لها أعرض
[12:38 - 12:40]  النملك بين أصلى اللهرن
[12:40 - 12:41]  خلاصة
[12:41 - 12:42]  الدين أعرض
[12:42 - 12:43]  بس هو علاجك
[12:43 - 12:44]  هنا أفلح من زكاه
[12:44 - 12:45]  هنا
[12:45 - 12:47]  انت هتتزكك بالطريقة
[12:47 - 12:49]  انت هتترب بطريقة
[12:49 - 12:51]  انت فيك دائ
[12:51 - 12:53]  مش حيث
[12:53 - 12:55]  يعني مسان في واحدة جميلة
[12:55 - 12:57]  واحد غني
[12:57 - 12:59]  فهو شيف النومة ترفتش
[12:59 - 13:00]  شيف كل النز بتوسني
[13:00 - 13:02]  علي خيرا أي أخيه
[13:02 - 13:04]  هي بلني على طول
[13:04 - 13:06]  فيؤدر الله سبحانه وتعالى
[13:06 - 13:07]  ان ندميه ش
[13:07 - 13:09]  ونديع تزر
[13:09 - 13:11]  قلينوته مهمة جدا
[13:11 - 13:12]  جدا
[13:12 - 13:14]  انت بستغرب جدا من البداء
[13:14 - 13:16]  ان في حد يرحزر
[13:16 - 13:17]  وبعد ان الوختط رفضه
[13:17 - 13:18]  فرواي الشرعية
[13:18 - 13:19]  أو هو يفضه
[13:19 - 13:20]  أو يعتزر
[13:20 - 13:21]  بداء
[13:21 - 13:22]  ويفصلو
[13:22 - 13:24]  ومشاكل كير جدا
[13:24 - 13:25]  ووفاصل
[13:25 - 13:27]  ولي الوختط رفضه دني
[13:27 - 13:28]  ليل أخر رفضني
[13:28 - 13:29]  أنا بحمد ربنا
[13:29 - 13:31]  هو رفضك
[13:31 - 13:32]  أنهم رفضوك
[13:32 - 13:33]  و بحمد ربنا
[13:33 - 13:34]  انت رفضتهم
[13:34 - 13:35]  واني الأخد رفضك
[13:35 - 13:37]  عفين لي
[13:37 - 13:39]  حتى تشهد
[13:39 - 13:41]  حتى تشهد
[13:41 - 13:44]  أنك ضعيف في عبادة التفيد
[13:45 - 13:47]  فأطفق أهذا
[13:47 - 13:48]  ومنعك هذا
[13:48 - 13:50]  ليعطيك هذا
[13:50 - 13:51]  فمنعك
[13:51 - 13:53]  هذه الفتا
[13:53 - 13:55]  ومنعك هذا الفتا
[13:55 - 13:56]  سواء منع دائم
[13:56 - 13:57]  أو منع مؤكد
[13:57 - 13:58]  ربما يرجع
[13:58 - 13:59]  ربما ترجع
[13:59 - 14:00]  بس عشاني
[14:00 - 14:01]  حتى يعتيك
[14:01 - 14:02]  شهد
[14:02 - 14:03]  قلت
[14:03 - 14:04]  قلت تفيدك
[14:04 - 14:06]  مشينت اللي أولتي
[14:06 - 14:07]  طول اللي لمدارح
[14:07 - 14:08]  وهو أجيوم التلات
[14:08 - 14:10]  والجيوم لتنين
[14:10 - 14:11]  تدع ربنا
[14:11 - 14:14]  تقول الله من كان شرر لي
[14:14 - 14:15]  رسرفه عني
[14:15 - 14:16]  الله من كان فولان
[14:16 - 14:19]  شرر لي رب فصرفه عني
[14:19 - 14:21]  وصرفني عني
[14:21 - 14:22]  وبدني خيرت
[14:22 - 14:23]  مشينتي بنتي لولتي
[14:23 - 14:24]  كدم بارح
[14:24 - 14:25]  ومشو انت أحب بقال
[14:25 - 14:26]  بلولتي كدم بارح
[14:26 - 14:27]  ومشو انت أعطي
[14:27 - 14:28]  تولي دعيلي
[14:28 - 14:29]  يشيخ
[14:29 - 14:31]  وعاد ويوم صل للستخرة
[14:31 - 14:32]  في الصحر
[14:32 - 14:33]  أجيوم دا وقت
[14:33 - 14:36]  الهزدهار
[14:37 - 14:39]  الله أكبرك
[14:39 - 14:41]  فيجي يدع ربنا
[14:41 - 14:43]  ويولي رب أن كانت شرفة صرفها
[14:43 - 14:44]  فيلي يحصل
[14:44 - 14:46]  تصرف عنه
[14:46 - 14:48]  التاني بايروحي
[14:48 - 14:49]  ويؤلبو يطوطر
[14:49 - 14:51]  وبتعن أن تغريب
[14:51 - 14:53]  فمهم جدا
[14:53 - 14:55]  إدراك إن رب جلّا على
[14:55 - 14:57]  لما
[14:57 - 14:58]  سبحان الله
[14:58 - 15:00]  أهم رب العالمين
[15:00 - 15:02]  يمنعك
[15:02 - 15:04]  ما ما نعك
[15:04 - 15:06]  إلا لعطيك
[15:06 - 15:08]  ولمعنا دموهم أوي
[15:08 - 15:10]  الله أخلون
[15:10 - 15:11]  نرجعتاني
[15:11 - 15:13]  لصالة
[15:13 - 15:15]  بسيء دامن
[15:15 - 15:17]  أو دامن من لوب
[15:17 - 15:19]  منتكلم عنه
[15:19 - 15:22]  الذي تكلم
[15:22 - 15:24]  الذي تكلم
[15:24 - 15:25]  وشارع الوحي
[15:25 - 15:27]  هو الذي خلق الإنسان
[15:27 - 15:30]  ضطدي في إدراكة مهم جدا
[15:30 - 15:32]  ألا له الخلق
[15:32 - 15:34]  والأمر
[15:34 - 15:36]  ألا له الخلق
[15:36 - 15:37]  والأمر
[15:37 - 15:38]  حوز إدراك
[15:38 - 15:39]  بعد
[15:39 - 15:40]  على له الخلق
[15:40 - 15:41]  والأمر دي
[15:41 - 15:43]  لك راية
[15:43 - 15:44]  لك راية جدا
[15:44 - 15:45]  جدا
[15:45 - 15:46]  جدا
[15:46 - 15:48]  ليخلص
[15:48 - 15:49]  ألمار بنا
[15:49 - 15:50]  له الخلق
[15:50 - 15:51]  وله الأمر
[15:51 - 15:52]  يبقى لخلقني
[15:52 - 15:53]  هو الذي أمرني
[15:53 - 15:54]  هو الذي يقول
[15:54 - 15:55]  الصحة
[15:55 - 15:56]  ويغلط
[15:56 - 15:57]  هل الناس فين
[15:57 - 15:59]  هل الناس فين
[15:59 - 16:00]  هل الناس فين
[16:00 - 16:03]  يرد الأس وبحانه وتعالى
[16:03 - 16:05]  والداء
[16:05 - 16:06]  فنصله
[16:06 - 16:08]  يعلم
[16:08 - 16:10]  فموقيت الخمس
[16:10 - 16:12]  تطوف بحك الحكمة
[16:12 - 16:15]  والذلك عليما الله
[16:15 - 16:17]  مدح
[16:17 - 16:20]  مدح تياج هذه الخلقة
[16:20 - 16:22]  النفسية ديات
[16:22 - 16:24]  التي خلقها
[16:24 - 16:26]  إنه يشحن بصلاة
[16:26 - 16:27]  فأوجبها علي
[16:27 - 16:30]  لم يتركها لنا أن هيتوبة
[16:30 - 16:31]  مستحبة لا أوجبها عليك
[16:31 - 16:33]  لحب ووضن
[16:33 - 16:35]  وتفضل لن تكررم
[16:35 - 16:36]  سبحانه وتعالى
[16:36 - 16:37]  فشنكذا
[16:37 - 16:39]  لما تفهم النقطة
[16:39 - 16:41]  بشاطن تزرق رائة الإمام
[16:41 - 16:43]  في صلاة جهرية بيائية الاخر
[16:43 - 16:45]  شتنه داشي
[16:45 - 16:47]  يقرأت صلق معلعيشة
[16:47 - 16:49]  واللمغرب
[16:49 - 16:51]  إنشاء الله يقرأ من أهيات
[16:51 - 16:53]  سلوت قافة ولا يقرأ من الحاقة
[16:53 - 16:55]  إنسلوت الوقع عشان أخشع
[16:55 - 16:59]  الله ليات عليك زمان
[16:59 - 17:01]  إنشاء الله
[17:01 - 17:03]  أو ياتع على بعضكم زمان
[17:03 - 17:05]  إنشاء الله
[17:05 - 17:07]  لن يجد
[17:07 - 17:09]  مثل القرآتهم في صالات
[17:09 - 17:11]  الزوهر والصالات العصر من خشوة
[17:11 - 17:13]  هي استمتع
[17:13 - 17:16]  في خشوة إنسلوت الزوهر والصالات العصر
[17:16 - 17:18]  خصة لو نوع في لايات
[17:18 - 17:20]  وصور في هذا الفاته
[17:20 - 17:23]  ومشحاب سعاتت بأعلى
[17:23 - 17:24]  هل حاجة معينك ده
[17:24 - 17:28]  فتبدبات إيشعيشة مختلف تماما
[17:28 - 17:31]  ونتفصلت الزوهر تحس باللهي بشمس
[17:31 - 17:33]  وليهي بالنال
[17:33 - 17:35]  وتستحضر
[17:35 - 17:37]  بحام الله إذا استدى الحرف
[17:37 - 17:39]  فأبريد عن الصلاة إنشدة الحر من فيه
[17:39 - 17:40]  من فيه
[17:40 - 17:41]  من فيه جهنم
[17:41 - 17:44]  كما يقول النبي صلى الله عليه وسلم
[17:44 - 17:46]  ولذلك النبي صلى الله عليه وسلم
[17:46 - 17:48]  كان يطير في صلاة الضهر
[17:48 - 17:51]  يبقى تادي قل كان النبي وقرأ فركعة 2
[17:51 - 17:53]  لو لين من صولة من صلاة الضه
[17:53 - 17:55]  بفعتاحة الكتاب وصورة 2
[17:55 - 17:58]  يوطويل في الأول ويقصر في الثانية
[17:58 - 17:59]  يوطويل
[17:59 - 18:01]  يطويل صلى الله عليه وسلم
[18:01 - 18:03]  صلاة الضهر
[18:03 - 18:05]  كل صلاة لكل صلاة
[18:05 - 18:08]  طعم خشوع لا يتكرر في غيرها
[18:08 - 18:11]  لكل صلاة
[18:11 - 18:15]  طعم خشوع لا يتكرر في غيرها
[18:15 - 18:20]  الله لم يحايا يقدر
[18:20 - 18:23]  وحدد سبحانه وتعالى
[18:23 - 18:26]  وقت لقائمونسة وقدره ليلاً
[18:26 - 18:28]  إلا لحكمةٍ بالغة
[18:28 - 18:31]  إلا لحكمةٍ بالغة
[18:31 - 18:34]  لن تجد بعض الصالة حين
[18:34 - 18:36]  من صلال الليل
[18:36 - 18:38]  ليل الشيطة بطريقة غير الليل الليل
[18:38 - 18:40]  بصصصص
[18:40 - 18:41]  الليل
[18:41 - 18:42]  هذا خشوع
[18:42 - 18:43]  و هذا خشوع
[18:43 - 18:45]  كان شيخ الإمام ملك
[18:45 - 18:47]  كان يصلني
[18:47 - 18:48]  الخشوع
[18:48 - 18:50]  كان يصلني في الشيطة
[18:50 - 18:51]  فين
[18:51 - 18:54]  يصل الشيطة على صطح بيته
[18:54 - 18:57]  عرف كرتط العروف دروة تكدى
[18:57 - 18:58]  ولا صطح و صلال
[18:58 - 19:00]  نتتكتك صح
[19:00 - 19:03]  هو كان عاوزي دن نفاوأ
[19:03 - 19:05]  طالع يصلني فين
[19:05 - 19:06]  العراق
[19:06 - 19:07]  دشيخ الإمام ملك
[19:07 - 19:09]  هو خشوع هنا
[19:09 - 19:11]  هو راية
[19:11 - 19:12]  وخذ بلكم
[19:12 - 19:16]  وكان إذا زياء الصيف
[19:16 - 19:19]  يصل فيه
[19:19 - 19:23]  في وصة الليل الليل دار
[19:23 - 19:25]  فكل وحباء لي فالسفته
[19:25 - 19:27]  كل وحن تولي فالسفته لي
[19:27 - 19:29]  لن تشبه صلاة
[19:29 - 19:31]  لن تشبه صلاة
[19:31 - 19:33]  فصنع من حالاتك
[19:33 - 19:35]  حالات مع الله مباشرة
[19:35 - 19:37]  ونتت صللي
[19:37 - 19:38]  كلها يحركك
[19:38 - 19:40]  إن الساعة آتي
