[0:00 - 0:04]  أسلامانيكم ورحمة الله ومنعيكم
[7:30 - 7:32]  صلاة ونعالة
[7:32 - 7:34]  الأحب
[7:34 - 7:38]  وهو محمد صلى الله عليه وسلم
[7:38 - 7:41]  الله وكبرك
[7:41 - 7:42]  ولذلك
[7:42 - 7:44]  الصلاة شريعك فيها
[7:44 - 7:45]  طلب الحاجة
[7:45 - 7:46]  والدعاء
[7:46 - 7:49]  فتنال هذا
[7:49 - 7:51]  من ما تنالهم
[7:51 - 7:53]  بركت الصلاة على النبي
[7:53 - 7:55]  صلى الله عليه وسلم
[7:55 - 7:57]  يعرفني بلا
[7:57 - 7:58]  أمن أحسن الصلاة
[7:58 - 7:59]  هو أحسن الله
[7:59 - 8:00]  وصلاة
[8:00 - 8:03]  العب
[8:03 - 8:04]  يشرفه الرب
[8:04 - 8:06]  جل العلى
[8:06 - 8:08]  بالدخول عليه
[8:08 - 8:10]  وأن يتلقى أنوار الوحي
[8:10 - 8:12]  تلاوت و سنعة
[8:12 - 8:14]  وإن يتحق بأسار
[8:14 - 8:16]  وإن يتلقى ركوعا
[8:16 - 8:17]  و سدودة
[8:17 - 8:19]  فبيخرج من الصلاة
[8:19 - 8:21]  يخرج من الصلاة
[8:21 - 8:22]  وعليه
[8:22 - 8:23]  البراكات
[8:23 - 8:25]  ورحمة
[8:25 - 8:27]  فتقيده معظمًا
[8:27 - 8:29]  لربه
[8:29 - 8:31]  راح من خلقه
[8:31 - 8:33]  وقد
[8:33 - 8:35]  صان الله
[8:35 - 8:37]  وسبحانة وتعالى له
[8:37 - 8:39]  وقل به
[8:39 - 8:41]  سبحان الملك
[8:42 - 8:43]  وإن كذلك
[8:43 - 8:45]  للمن المكشيري
[8:45 - 8:47]  ومن نسبة
[8:47 - 8:48]  كلم المكشيري
[8:48 - 8:50]  هو السبب في
[8:50 - 8:52]  تسمية هذه السلسلة
[8:52 - 8:54]  بما تعلمون
[8:54 - 8:56]  و تسمية
[8:56 - 8:57]  كتاب
[8:57 - 8:59]  الغلص الصداة
[8:59 - 9:02]  للناشئة
[9:02 - 9:04]  بكتاب معرض
[9:04 - 9:06]  بيود المكشيري
[9:06 - 9:08]  كبت كلم على معرض
[9:08 - 9:10]  وقال سمعت أبو عليه
[9:10 - 9:11]  أدعالي
[9:11 - 9:13]  الدقاف يكون
[9:13 - 9:15]  إنا نبينا
[9:15 - 9:17]  صلى الله عليه وسلم
[9:17 - 9:19]  أتال الأمة
[9:19 - 9:21]  بالمعراج على التحقيق
[9:21 - 9:23]  فإن الصلاة
[9:23 - 9:25]  لنا بمنزلة المعراج
[9:25 - 9:27]  وقد كان المعراج له
[9:27 - 9:29]  صلى الله عليه وسلم
[9:29 - 9:30]  ثلاثة منازل
[9:30 - 9:32]  من المسجد الحرام
[9:32 - 9:34]  إلى المسجد الأقصى
[9:34 - 9:37]  ثم من المسجد الأقصى
[9:37 - 9:39]  إلى سدرة منتها
[9:39 - 9:42]  ثم منها إلى فاضق أو شيء أو أدنا
[9:42 - 9:44]  فكذا لكلا الصلاة
[9:44 - 9:46]  ثلاث منازل
[9:46 - 9:48]  القيام
[9:48 - 9:49]  ثم الرقوع
[9:49 - 9:50]  ثم السدود
[9:50 - 9:52]  وهو نهاية القر
[9:52 - 9:54]  قالت على
[9:54 - 9:56]  وسدود وقتر
[9:56 - 10:00]  فأس الله سبحانه وتارة
[10:00 - 10:02]  اللي يحرن لزد
[10:02 - 10:04]  الصلاة والزد
[10:04 - 10:06]  والزد الكلام عن الصلاة
[10:06 - 10:10]  وتحبيب الناس في الصلاة
[10:10 - 10:13]  أده ربادة التي
[10:13 - 10:17]  ثلقين تعليمها
[10:17 - 10:19]  مباشر عن جبري
[10:19 - 10:20]  عليه السلام
[10:20 - 10:22]  لما
[10:22 - 10:25]  علم النبي بأوقاتها
[10:25 - 10:27]  صلى الله عليه وسلم
[10:27 - 10:29]  ولذلك
[10:29 - 10:32]  النبي لا يشبع من الصلاة
[10:32 - 10:34]  البلحديس الذي
[10:34 - 10:35]  صحاهه
[10:35 - 10:37]  من الان بين وغيره
[10:37 - 10:40]  النبي صلى الله عليه وسلم
[10:40 - 10:42]  قال الأنبياء
[10:42 - 10:43]  وأحياء
[10:43 - 10:47]  في قبوره نصلون
[10:47 - 10:49]  الأنبياء
[10:49 - 10:51]  في قلو
[10:51 - 10:54]  في قبوره نصلون
[10:55 - 10:57]  الله أكبر
[10:57 - 10:58]  هذه نعم
[10:58 - 11:00]  فعتني نصالاتك
[11:00 - 11:02]  في إحنا
[11:02 - 11:04]  ستكون الأخيرة
[11:04 - 11:05]  وكلكم
[11:05 - 11:07]  كانت
[11:07 - 11:09]  فأس الله
[11:09 - 11:10]  سبحانه
[11:10 - 11:11]  تعالى
[11:11 - 11:13]  أن يسلد نميئكم
[11:13 - 11:15]  بكل خير
[11:15 - 11:17]  ورزال كان السلث
[11:17 - 11:20]  بقييم الناس تضقل الصلاة
[11:20 - 11:22]  كان
[11:22 - 11:24]  أول عالي
[11:24 - 11:26]  عالياء
[11:26 - 11:27]  لقول
[11:27 - 11:29]  كنت أرحل
[11:29 - 11:31]  إلا الرجول مسيرة
[11:31 - 11:33]  يعني نمسيفر أيام
[11:33 - 11:35]  لا أسلق
[11:35 - 11:36]  لأس معمن
[11:36 - 11:38]  يعني راح يطبب من العلم الشرع
[11:38 - 11:39]  يطبب منه
[11:39 - 11:40]  أحياء النبي
[11:40 - 11:41]  تعلم
[11:41 - 11:43]  تنهرد أن تعال في بيكك
[11:43 - 11:45]  وطبعا ونتشدد البطقمية
[11:45 - 11:47]  ونتئاعدا مستخيه
[11:47 - 11:49]  ومسك مجبلي
[11:49 - 11:51]  مشروب السخن بتاك
[11:51 - 11:53]  وعدم منت اسمعي
[11:53 - 11:54]  وتولي ربه
[11:54 - 11:55]  وشخص عالف من النهن
[11:55 - 11:57]  فانتئاعدا الأعضة التعتج بي
[11:57 - 11:59]  ونتئاعدا في اللي في البيت
[11:59 - 12:01]  ومدده
[12:01 - 12:03]  ونتشغال
[12:03 - 12:05]  وعادة العلم بيجيلك
[12:05 - 12:07]  يعني سرلك
[12:07 - 12:08]  زيطة الأطفالكي
[12:08 - 12:10]  عبص بعارب ان تزيط البطق
[12:10 - 12:12]  بيهت الظغط ذالي
[12:12 - 12:15]  الطيورد
[12:15 - 12:18]  وشيف نفسكي
[12:18 - 12:20]  وعلا نبطل بالعلم
[12:20 - 12:22]  أعمنت فهلب
[12:22 - 12:25]  فالسهن سمي طلب علم
[12:25 - 12:29]  فالقرب عم اختلف
[12:29 - 12:31]  المهارضة اللي ينزل
[12:31 - 12:33]  المزجد ويعد
[12:33 - 12:35]  ممتظر الشيخ
[12:35 - 12:37]  مسر مصر سعى عشان يسم معلي
[12:37 - 12:39]  وحاسس النهوة الوقت
[12:39 - 12:41]  مش الله لقوة لبلاد
[12:41 - 12:43]  ولكو الله الرحل الطلب علم شف لمهمة
[12:43 - 12:46]  وحاسس النهوة مرتاح للكوكة بن دري
[12:46 - 12:49]  و النهوة و النهوة
[12:49 - 12:53]  صبحام الله
[12:53 - 12:56]  فأبو العلي
[12:56 - 13:00]  قبل أن كنت أرحل لرجل المسيرة
[13:00 - 13:02]  أيام كنت بطهرك
[13:02 - 13:04]  فشان أرحة أبن العلم
[13:04 - 13:06]  فعالثين باشان يتهرق
[13:06 - 13:09]  ينتخيل كدا تخيل أن فيي شيخ
[13:09 - 13:13]  في سوهك
[13:13 - 13:16]  وفيي واحد
[13:16 - 13:19]  عوز يطلب العلم من الاسكندرية
[13:19 - 13:22]  وهيبدأ يرتاح لي
[13:22 - 13:25]  وحن نتكلم من متين سنمس
[13:25 - 13:27]  ينتخيلين المشوارل
[13:27 - 13:29]  اللي هي مش فيي شين يسم عدر سعن الصل
[13:29 - 13:31]  راح يسم مع منه كاليما
[13:31 - 13:33]  أعن الصلع
[13:33 - 13:35]  يسم مع منه أهديس النبي
[13:35 - 13:37]  أعن الصلع
[13:37 - 13:39]  راح ياخد متن حديسي
[13:39 - 13:41]  في هداية الملك
[13:41 - 13:44]  في ما طعلك بالصلع
[13:44 - 13:47]  ينتم مدركين المشوارل هاخلو
[13:47 - 13:50]  هو من رحمة اللعلينا
[13:50 - 13:52]  أن نربنا
[13:52 - 13:55]  مكنا وحياء
[13:55 - 13:57]  واختار في هذه الأمنا
[13:57 - 13:59]  أقوام يعملون كدا
[13:59 - 14:01]  وحن ماضب لعملي
[14:01 - 14:02]  من جيب الكتاب
[14:02 - 14:03]  ونتعلم منه
[14:03 - 14:04]  ونسمعه
[14:04 - 14:06]  من شخنا
[14:06 - 14:07]  وحن عدي في بيوتنا
[14:07 - 14:09]  وبعدي نبى اللغ
[14:09 - 14:11]  صح لأن كتاب أتكتب الزي
[14:11 - 14:13]  كتاب اللي فيي تحضرتت بدا
[14:13 - 14:15]  في تاب اللي فيي تحضرتت بدا
[14:15 - 14:16]  لنترح تشتريتهم من معرض
[14:16 - 14:17]  والتغالية والخيص
[14:17 - 14:19]  مون في تاب اللي
[14:19 - 14:21]  نزر بدي أفكد عن مبال
[14:21 - 14:22]  ده عشاني
[14:22 - 14:24]  كتب ويبعوا الدامة كدا
[14:26 - 14:28]  مدركة وخدخد مقود
[14:28 - 14:29]  الديج بار
[14:29 - 14:30]  وتيجون تأعدت
[14:30 - 14:33]  ولا لا لا نشمرت أحال البخيري
[14:33 - 14:34]  خاص
[14:34 - 14:37]  أصن بخير دانة إلا ضمنني
[14:37 - 14:40]  ويلي ما فعلنا
[14:41 - 14:44]  إحنا لو كانت في أمة
[14:44 - 14:45]  لو كان في أمة
[14:46 - 14:47]  فيها رجال
[14:47 - 14:49]  ما كانت شي نطق
[14:50 - 14:53]  يعني هذه الألسنة رويب
[14:53 - 14:55]  كانت ستكلم بالطريق
[14:57 - 14:59]  لكن إحنا في زمن
[15:00 - 15:02]  وبنصبحانه وتعالى
[15:02 - 15:03]  يعني
[15:04 - 15:05]  أكرمانة
[15:06 - 15:08]  أن نأخذ أجر
[15:08 - 15:11]  تصدر على سماعي مثلا هذا الكلمة
[15:14 - 15:15]  اللي بيكون
[15:15 - 15:17]  يعني عند درائة
[15:17 - 15:19]  وعند تخصص
[15:19 - 15:21]  هو أكثر الناس إيلا من
[15:22 - 15:24]  ومع أكثر الناس إسقطة
[15:24 - 15:25]  يعني هو وصف لدن
[15:25 - 15:27]  أنك لهم لكله لس
[15:27 - 15:29]  بس أكثر رحب يتألم
[15:29 - 15:32]  اللي تخيلني في واحد دكتور
[15:32 - 15:33]  لأيس قص
[15:33 - 15:35]  في قد بما
[15:35 - 15:37]  يقسم بما
[15:37 - 15:38]  ويلي واحد
[15:38 - 15:39]  صاحب من النوم
[15:39 - 15:40]  حبيتك
[15:40 - 15:42]  صاحب من النوم
[15:42 - 15:43]  لأن
[15:43 - 15:44]  أن
[15:44 - 15:45]  يعني بتريفك
[15:46 - 15:47]  فرحة أي لجمعنا
[15:47 - 15:48]  أنها نهاردة
[15:48 - 15:49]  واللوكم
[15:49 - 15:50]  بما إنه
[15:50 - 15:51]  يعني عند دخبرة في
[15:52 - 15:54]  في موضوع عيني
[15:54 - 15:56]  واللوكم أنا عليك تهزي
[15:56 - 15:57]  فرص
[15:58 - 15:59]  الحل الوحيد
[15:59 - 16:00]  بحطة فوطة
[16:00 - 16:01]  وخل يختك صغيرة
[16:01 - 16:03]  دنها تنفوخلك في الفوطة ديات
[16:03 - 16:04]  ويه؟
[16:04 - 16:05]  علينا حطة علينا
[16:05 - 16:06]  وخلات تنفوخلك
[16:06 - 16:08]  أي مشكلة باعندك في القرنية
[16:08 - 16:10]  عندك في كزهة لأن توجيبت من
[16:10 - 16:12]  كلمة دكتر دا
[16:12 - 16:13]  لترحل حد التعرمد
[16:13 - 16:14]  ولم يبيضه
[16:14 - 16:15]  للمهل السدخار
[16:15 - 16:17]  كلهم أصلاً
[16:17 - 16:18]  وشغلي
[16:18 - 16:19]  نئي لدمن
[16:19 - 16:21]  نحن ذك أن شغل عديم
[16:21 - 16:22]  خودك جديد بأ
[16:23 - 16:26]  فتخيلني في وحد
[16:26 - 16:28]  أبذي يكون باة طبيب
[16:28 - 16:29]  ومتخصص
[16:29 - 16:31]  و بسمع الكرام
[16:31 - 16:32]  و أكثر واحد
[16:32 - 16:35]  متمئن و عنده سقى أن الكلم دائي
[16:35 - 16:37]  هلس
[16:37 - 16:39]  وثنفس الوقت
[16:39 - 16:41]  أكثر واحد بيات ألم
[16:41 - 16:43]  لكأن
[16:43 - 16:45]  أخلود
[16:45 - 16:49]  ولين الأعدين في الجامع كده
[16:49 - 16:51]  ومبيتابع المغطع دا يولوي
[16:51 - 16:53]  بس إعضاء يخلود فيهلم
[16:53 - 16:55]  في كروته قبارة
[16:55 - 16:57]  إيه رائيك لو نعمل المعوضواضة
[16:57 - 16:59]  أنا ظهن عملتهم برحمة
[16:59 - 17:00]  أختي ندى بتقول
[17:00 - 17:02]  إفتحة جداً جداً جداً
[17:02 - 17:04]  يهني؟
[17:04 - 17:05]  أهلاً
[17:05 - 17:06]  أهلاً مستعه
[17:06 - 17:08]  أبنى يلتف بينا
[17:08 - 17:09]  أستوى الله
[17:09 - 17:11]  نرى على رجل الطيب أبل عليها
[17:11 - 17:12]  عشان كلم وعال
[17:14 - 17:18]  يقول كنت أرحى إلى رجل مسيرة أيام
[17:18 - 17:20]  لكي أسمع من
[17:20 - 17:23]  فأول ما أفتقد منه صلتة
[17:23 - 17:26]  أول حاجة أنتبه أشوف صلتة
[17:26 - 17:28]  فإن
[17:28 - 17:30]  أجده يقيمها
[17:30 - 17:32]  ويتمها أقنط وساماتة
[17:32 - 17:36]  أغروه بأسماع منه الألمق
[17:36 - 17:38]  وين أدينه يضيعها
[17:38 - 17:40]  أرجعت ولم أسمع منه
[17:42 - 17:46]  وقلته هو لغير الصلاة أضيع
[17:46 - 17:49]  هو لغير الصلاة أضيع
[17:49 - 17:51]  عم إثحيات
[17:51 - 17:55]  ما وثقت في إنسان لا يصد
[17:55 - 17:58]  عم يد في حيات
[17:58 - 18:01]  ما وثقت في إنسان لا يصد
[18:01 - 18:04]  حتى لو ظهر علي
[18:04 - 18:07]  ما ظاهر أنه أهل السق
[18:07 - 18:10]  لا أسق أبدا في
[18:10 - 18:13]  لأنما قطع صلته
[18:13 - 18:15]  بما خلقه
[18:15 - 18:18]  لن يبقى صلته بأي إنسان
[18:18 - 18:20]  حلص
[18:21 - 18:24]  أمرك مهد التفئ مع يهد
[18:25 - 18:28]  متبنت حضت إيدك
[18:28 - 18:31]  أعالى أنهم لا ينقضل العهد
[18:31 - 18:33]  نأه ربك كشفهم
[18:33 - 18:35]  فنفس الكلامك معك
[18:35 - 18:37]  وحب مهد يصضيش
[18:37 - 18:38]  حاصمة
[18:38 - 18:39]  لا تستخدم
[18:39 - 18:41]  أن تكتو ثلعت
[18:41 - 18:42]  أن تكتو ثلعت
[18:42 - 18:44]  عمد صلطان قطع صلة
[18:45 - 18:48]  فنصد الله لافو العفري
[18:50 - 18:52]  ما شعوز باس إليه
[18:52 - 18:54]  شيخ تبونا زوجل لمهد يصضيش
[18:54 - 18:56]  ويشيء ما قصص تدىها
[18:56 - 18:59]  فعوات هبأ
[19:04 - 19:06]  وفصيقه يعني أقصلي
[19:06 - 19:08]  زائد النأي أغط
[19:09 - 19:12]  تأبل واحد ما يصضيش
[19:13 - 19:15]  وهي عرفت
[19:16 - 19:17]  إنه هو مكنسيب صلته
[19:17 - 19:19]  وكان عنديها وتجاهلت
[19:19 - 19:20]  خلص
[19:20 - 19:22]  يدفطوره هي قضة النية
[19:22 - 19:23]  بتفعفطورتها
[19:23 - 19:24]  تتكامل بأفض الطالي
[19:24 - 19:25]  يعني ما أخرث
[19:25 - 19:27]  هي إبليتك
[19:27 - 19:28]  يمجزل المتنة سهبس
[19:28 - 19:30]  يزل متأجيال
[19:30 - 19:32]  والدام
[19:33 - 19:35]  نصد الله لافو العفل
[19:36 - 19:39]  نفسك كل مورجعتان الأول محضرة
[19:39 - 19:41]  وول أهمي الصلاة
[19:41 - 19:43]  مكل شوي هدنده ناريه
[19:43 - 19:44]  بالنصلاة
[19:44 - 19:48]  يكفي في الصلاة أنها بتأسس المقوم الداخلية
[19:48 - 19:51]  تدكمنع إن الصلاة تنها
[19:51 - 19:53]  عن الفحشاء والمنكر
[19:55 - 19:57]  المصلاة بتنها
[19:57 - 19:59]  ونشاء الله بإزن الله
[19:59 - 20:00]  هي كود بنى
[20:00 - 20:03]  لقائة عن فلسفت
[20:03 - 20:05]  إزي النصلاة
[20:05 - 20:09]  بتأسس المقوم الداخل
[20:09 - 20:12]  المصلاة بتأسس المقوم الداخل
[20:12 - 20:15]  منا نتكلم عن إنه أرضى
[20:15 - 20:17]  نتكلم إنه أرضى عنا حشوى
[20:17 - 20:20]  ونكلم في زي مهي كنا بدأنا
[20:20 - 20:24]  الصلاة
[20:24 - 20:27]  كنا نحن سنأخذ
[20:27 - 20:34]  قدس من قبسات موسعليه السلام
[20:34 - 20:38]  في رحلته رحلت الكليم
[20:38 - 20:40]  العلل الله سبحانه وتعالى
[20:40 - 20:42]  أن ينفعنا بها
[20:42 - 20:44]  أول قدس
[20:44 - 20:48]  من
[20:48 - 20:52]  إنه قصة سيدنا موسع
[20:52 - 20:56]  اللي تسعدنا جدا في صناعة
[20:56 - 20:58]  الجو الصلاة للخشوع
[20:58 - 21:00]  هو
[21:00 - 21:04]  سننتزعه
[21:04 - 21:08]  من قول الله سبحانه وتعالى
[21:08 - 21:12]  إن الساعة ايتية
[21:12 - 21:16]  إي المضوان
[21:16 - 21:18]  أذك
[21:18 - 21:20]  أذك الله سبحانه وتعالى قصة سيدنا موسع
[21:20 - 21:24]  في صورة الطاهة
[21:24 - 21:26]  وسيدنا موسع راية
[21:26 - 21:28]  تخيالوا الدنيا ليل
[21:28 - 21:30]  سيدنا موسعليه
[21:30 - 21:32]  لهم كثم أو أفوهنا
[21:32 - 21:34]  إني أنا استرنارى
[21:34 - 21:36]  أنا شيف نار من بعيد
[21:36 - 21:38]  فكدى رلبا في نسعة دهنك
[21:38 - 21:40]  رحاقوا التشاعة لكدى من النار دي
[21:40 - 21:44]  وسألهم وقد يدلون على الطريق
[21:44 - 21:46]  فزهبا سيدنا موسع
[21:46 - 21:48]  فأول مزهب
[21:48 - 21:51]  إذا به
[21:51 - 21:54]  إذا به يسمع كلام أغلا من أتحب
[21:54 - 21:58]  ويبدأ بسمع
[21:58 - 22:02]  إنني أنا الله
[22:02 - 22:06]  ويبدأ سيدنا موسع يكلمه الله سبحانه
[22:06 - 22:09]  وتعالى خلعنا بيك إنك لدوات المقندة سطوة
[22:09 - 22:12]  إلى أفر لايات اللي نتعرفنا
[22:12 - 22:14]  ويبدأ بيقول لسيدنا موسع
[22:14 - 22:18]  إنني أنا الله لا إلا أنا
[22:18 - 22:20]  فعبونا
[22:20 - 22:22]  وأقل مصلاة
[22:22 - 22:26]  نسوخ لبلك رمع من أوائل ما سمع سيدنا موسع
[22:26 - 22:30]  بعد التوحيد وأقل مصلاة لدكري
[22:30 - 22:34]  كأنسيدنا موسع
[22:34 - 22:36]  محتاج يسمى حاجة
[22:36 - 22:40]  توع لي الشغف
[22:40 - 22:44]  وترفع القلب حباً ورفع
[22:44 - 22:48]  فقال الله إن الساعة أتي
[22:48 - 22:53]  وأي أمر في القرآن أو أي نهي في القرآن
